analysis_id,mgi_accession_id,gene_symbol,mouse_life_stage,mouse_strain,parameter_id,parameter_name,pvalue
0331h733xq45pi6,MGI:1915267,Mrm2,E9.5,C57BL,IMPC_CBC_008_001,Total bilirubin,0.9565304
03337l3724766z8,MGI:2147067,Dhx57,Early adult,C57BL,ESLIM_011_001_003,PP2 startle magnitude,0.6400606
033b26i3el3ijr2,MGI:109151,Ltbp1,Early adult,129SV,JAX_LDT_002_001,Light side time spent,0.4978766
033j2m70ql8zlg1,MGI:3037820,Kcna10,Early adult,C57BL,IMPC_OWT_002_001,Spleen weight,0.4042751
033zg9j6wn893ui,MGI:95805,Grb2,Early adult,129SV,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,0.1843144
03441rqzoj13n56,MGI:3527427,Taar3,Early adult,C57BL,ESLIM_016_001_005,Mean cell volume,0.1742507
0345u6f59l36zls,MGI:2388280,Polr2b,E9.5,C57BL,IMPC_GEL_032_001,Embryo Size,0.2466585
03485d8r2sj538q,MGI:1344403,Cfdp1,Early adult,C57BL,ESLIM_016_001_008,Platelets count,0.06156014
035182e0r600mb7,MGI:106351,Vcf1,Early adult,C57BL,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,0.5308299
03519o440297vit,MGI:2387194,Qsox2,Early adult,C57BL,ESLIM_011_001_005,PP4 startle magnitude,0.9863692
035374lt2m4t6ca,MGI:2153608,Ube2j2,Middle aged adult,C57BL,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.3885481
0357o4qo941za34,MGI:3042250,Serpinb13,Early adult,C57BL,ESLIM_011_001_004,PP3 startle magnitude,0.6849259
035dc4qkgkejn13,MGI:88452,Col2a1,Early adult,C57BL,M-G-P_025_001_021,Uric acid,0.4822839
03659e834088425,MGI:95864,Gstp2,Early adult,C57BL,IMPC_HEM_002_001,Red blood cell count,0.4815406
036r04hk374mrw0,MGI:1915625,Ndufa8,Early adult,C57BL,ESLIM_016_001_005,Mean cell volume,0.6334417
036v12v4fpb4aj8,MGI:88071,Arnt,Early adult,C57BL,M-G-P_026_001_011,Snout morphology,0.2433241
0376e5u3y9hb159,MGI:2441730,Tbl1xr1,Early adult,C57BL,MGP_IMM_033_001,Total NK cells - % of CD45+,0.3915115
037l0l3uiqnshxm,MGI:1916387,Vstm5,Early adult,C57BL,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.7074571
037yf7d8m22gdz8,MGI:1098746,Ankzf1,Early adult,C57BL,IMPC_CSD_009_001,Coat - color pattern - head,0.6766786
0380y8125w4hx92,MGI:103250,Calm2,Early adult,C57BL,KMPCLA_CBC_006_001,Total protein,0.5588537
038721946b93433,MGI:3041259,Mettl25,Early adult,C57BL,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.3585972
0394he3og43b7d6,MGI:1915759,Ptx4,Early adult,C57BL,IMPC_CBC_007_001,Albumin,0.973161
03988pd02y01f2c,MGI:3041259,Mettl25,Early adult,C57BL,JAX_LDT_004_001,Dark side time spent,0.1198547
039m5w2u8j34ryc,MGI:1926024,Cfap61,Early adult,C57BL,JAX_URI_004_001,Magnesium,0.469537
03b57309m89jj6n,MGI:1098746,Ankzf1,Early adult,C57BL,RBRCLA_HEM_005_001,Mean cell volume,0.3139485
03c9uvd4289060e,MGI:1339998,Efemp1,Early adult,C57BL,MGP_IMM_100_001,Resting NK cells - % of CD45+,0.5687236
03d2972i8x2y311,MGI:3652039,Rad21l,Late adult,C57BL,HMGULA_CBC_016_001,HDL-cholesterol,0.1501523
03ddnra67nfv90s,MGI:2443834,Ppfia2,Early adult,C57BL,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),0.4953705
03doh5jg97f56o0,MGI:3041259,Mettl25,Early adult,C57BL,IMPC_EYE_014_001,Pupil Light Response,0.6822071
03e6u6uuz84t143,MGI:2684313,Togaram1,Early adult,C57BL,IMPC_HEM_003_001,Hemoglobin,0.3677291
03fq828je62v6n1,MGI:1098746,Ankzf1,Early adult,C57BL,IMPC_HEM_032_001,Lymphocyte cell count,0.3466886
03g8eb8371k4367,MGI:95864,Gstp2,Early adult,C57BL,JAX_URI_004_001,Magnesium,0.5662135
03hgs2q7850s7rn,MGI:2441730,Tbl1xr1,Late adult,C57BL,IMPC_EYE_017_001,Lens Opacity,0.7142035
03i3m3181p40697,MGI:104747,Pkia,Early adult,C57BL,ESLIM_009_001_704,Forelimb and hindlimb grip strength normalised against body weight,0.964392
03i44334453lft6,MGI:2442689,Lrrc49,Early adult,C57BL,IMPC_CSD_023_001,Vibrissae - presence,0.1647999
03ixe6b377b92qc,MGI:1914015,4933411k16rik,Early adult,C57BL,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,0.2190464
03kac68u89f7lz0,MGI:2669796,Rtn4rl2,Early adult,C57BL,MGP_IMM_104_001,Mature NK cells - % of lymphocytes,0.1141235
03l45817q1e6487,MGI:1098746,Ankzf1,Early adult,C57BL,IMPC_ACS_035_001,% Pre-pulse inhibition - PPI3,0.249225
03m7cu5r8ce564a,MGI:98241,Stmn2,Early adult,C57BL,JAX_URI_004_001,Magnesium,0.3921294
03p98wf6hxpnn00,MGI:1309467,Gstm6,Early adult,C57BL,RBRCLA_HEM_005_001,Mean cell volume,0.2726762
03pv547y63oul41,MGI:98241,Stmn2,E18.5,C57BL,M-G-P_025_001_022,Total bilirubin,0.08555208
03q1se490t3394q,MGI:109151,Ltbp1,Early adult,129SV,IMPC_GEM_027_001,Limb Bud Morphology,0.7865029
03q86h73166x4uy,MGI:3607787,Spata21,Early adult,C57BL,IMPC_INS_001_001,Insulin,0.3684521
03qrl2me56bcc47,MGI:88289,Cbx2,E15.5,C57BL,IMPC_HEM_002_001,Red blood cell count,0.06882298
03rflkn22wb7k1w,MGI:1921275,Nphp3,Early adult,C57BL,M-G-P_025_001_012,Lactate dehydrogenase,0.309205
03rng749lcp4h24,MGI:2153608,Ube2j2,Middle aged adult,C57BL,IMPC_GEM_063_001,Facial cleft,0.2030959
03sizmo91hgwf11,MGI:2685031,Leo1,Early adult,C57BL,M-G-P_025_001_021,Uric acid,0.09802576
03w0xn739g58zk1,MGI:1890564,Rcan1,Early adult,C57BL,IMPC_CBC_009_001,Calcium,0.9419616
03w8a7h51303a75,MGI:1918588,Tprg1,Early adult,C57BL,IMPC_EYE_017_001,Lens Opacity,0.5071612
03wk81onzit264v,MGI:2685945,Pstk,Early adult,C57BL,IMPC_GEM_077_001,Hemorrhage,0.2131411
03wl965uxh494i8,MGI:88289,Cbx2,E15.5,C57BL,IMPC_EYE_063_001,Right inner nuclear layer,0.868661
03wow1xeo90hf9n,MGI:2441730,Tbl1xr1,Early adult,C57BL,HMGULA_SHI_009_001,Startle response,0.1597336
03y19810jx39715,MGI:88344,Cd7,Early adult,C57BL,IMPC_CSD_029_001,Activity (body position),0.09373955
03y6mkew88b4751,MGI:1339711,Myh1,Early adult,C57BL,CCP_XRY_003_001,Maxilla/Pre-maxilla,0.1875953
03z2d5m2sz8tmbd,MGI:1915759,Ptx4,Early adult,C57BL,IMPC_CBC_018_001,Glucose,0.3870849
03z77q76kad5ab3,MGI:1890564,Rcan1,Early adult,C57BL,MGP_IMM_104_001,Mature NK cells - % of lymphocytes,0.9238276
04041lo25bc0646,MGI:1926024,Cfap61,Early adult,C57BL,IMPC_CSD_080_001,Head bobbing,0.6820942
04074oewz0jo144,MGI:104747,Pkia,Early adult,C57BL,IMPC_OWT_002_001,Spleen weight,0.3569801
0408g673s0rmv6o,MGI:88344,Cd7,Early adult,C57BL,IMPC_HEM_008_001,Platelet count,0.2783944
040i7nm7bsc9g8j,MGI:1916387,Vstm5,Early adult,C57BL,HMGULA_HWT_008_001,Heart weight,0.4309096
04129831i1uw9u7,MGI:3527427,Taar3,Early adult,C57BL,M-G-P_007_001_010,center - distance,0.1427621
041601n1a831503,MGI:1921078,Dcaf4,Early adult,C57BL,M-G-P_025_001_012,Lactate dehydrogenase,0.2006061
0416873n046v1oq,MGI:2141255,Zfp513,Early adult,C57BL,JAX_SLW_010_001,Dark sleep bout lengths standard deviation,0.09292968
04223f0h5bgp684,MGI:2137026,P2rx5,Early adult,C57BL,JAX_SLW_002_001,Sleep daily percent,0.6081257
0422g278v28410k,MGI:1921720,Cep72,Early adult,C57BL,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),0.7769762
0425vbztd0b1y4i,MGI:88289,Cbx2,E15.5,C57BL,ESLIM_009_001_702,Forelimb and hindlimb grip strength measurement mean,0.6307834
0426qi0zfp5f82g,MGI:1915759,Ptx4,Early adult,C57BL,IMPC_EYE_068_001,Left total retinal thickness,0.4391063
0427y4dg6s3p845,MGI:1928486,Tdo2,E12.5,C57BL,JAX_LDT_008_001,Percent time in dark,0.4988254
042g776g8lt4k67,MGI:1915267,Mrm2,E9.5,C57BL,M-G-P_026_001_011,Snout morphology,0.1255057
043i00ob2q2or7u,MGI:1915267,Mrm2,Early adult,C57BL,ESLIM_016_001_005,Mean cell volume,0.6552245
04517w3918t0a7a,MGI:2685945,Pstk,Early adult,C57BL,IMPC_EYE_024_001,Retinal Blood Vessels,0.7678963
0453149u5hcx266,MGI:1333782,Pld3,Early adult,C57BL,HMGULA_CBC_016_001,HDL-cholesterol,0.1056104
045512658iy0bv6,MGI:2444401,Snrnp200,Early adult,C57BL,IMPC_HEM_005_001,Mean cell volume,0.7416285
0458766435gs01w,MGI:109151,Ltbp1,Early adult,129SV,IMPC_HEM_035_001,Eosinophil differential count,0.955987
045jxp842bpvu7p,MGI:2153608,Ube2j2,Middle aged adult,C57BL,IMPC_EYE_014_001,Pupil Light Response,0.5418323
045r4q273328l38,MGI:2387194,Qsox2,Late adult,C57BL,ESLIM_021_001_005,HDL-cholesterol,0.4774653
045ragb436j0s57,MGI:1915918,Klk5,Early adult,C57BL,IMPC_DXA_003_001,Lean mass,0.6458023
04616ol170w39m5,MGI:3527427,Taar3,Early adult,C57BL,IMPC_OFD_009_001,Whole arena average speed,0.8293907
046f0iu8rqy5704,MGI:99160,Zfp14,Early adult,C57BL,IMPC_CBC_010_001,Phosphorus,0.1065077
046o43321aq7508,MGI:2385186,Clcc1,E12.5,C57BL,JAX_LDT_004_001,Dark side time spent,0.2049492
046oxa8x6hda7yv,MGI:99602,Acan,E15.5,C57BL,IMPC_EYE_017_001,Lens Opacity,0.5072576
04800kj48792971,MGI:1344403,Cfdp1,Early adult,C57BL,KMPCLA_CBC_006_001,Total protein,0.7161472
0489b0pj4xsv401,MGI:1922928,Ippk,Early adult,C57BL,M-G-P_006_001_026,Fusion of vertebrae,0.4189844
048i5e2a13m3yh9,MGI:1339759,Csf2rb,Early adult,C57BL,IMPC_ECH_012_001,LVPWs,0.4714791
048i7b539h8l136,MGI:2151224,Alpk3,Early adult,C57BL,IMPC_IPG_010_001,Fasted blood glucose concentration,0.2900232
048j5fkn8457239,MGI:96217,Hprt1,Early adult,C57BL,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,0.6626807
048xw4qk68fdt0n,MGI:1859211,Irf6,Early adult,C57BL,ESLIM_016_001_002,Red blood cell count,0.2421142
0492v14u900635f,MGI:2385186,Clcc1,Early adult,C57BL,IMPC_HEM_038_001,Basophil differential count,0.932509
049j4y5g88jhxb6,MGI:2385186,Clcc1,E9.5,C57BL,JAX_SLW_004_001,Sleep dark phase percent,0.3089226
049k308pnu9x81g,MGI:98241,Stmn2,Early adult,C57BL,IMPC_CBC_018_001,Glucose,0.9333887
049lqmg2xy53xm6,MGI:96273,Htr1a,Early adult,C57BL,IMPC_GEL_063_001,Delayed embryonic development,0.7107148
04bp90m6akfnjkq,MGI:3652039,Rad21l,Middle aged adult,C57BL,ESLIM_011_001_003,PP2 startle magnitude,0.8834226
04ci10p3q6irv6p,MGI:1309998,Marco,Early adult,C57BL,IMPC_OFD_009_001,Whole arena average speed,1.841646e-05
04eg7c22m0ndrbj,MGI:99602,Acan,E15.5,C57BL,IMPC_HEM_007_001,Mean cell hemoglobin concentration,0.9222479
04hfr31g3pqsm34,MGI:700006,Dbnl,Early adult,C57BL,IMPC_ECH_009_001,LVPWd,0.1720736
04hxz9bj6bx8s7x,MGI:2136748,Pcdhb13,Early adult,C57BL,JAX_LDT_004_001,Dark side time spent,0.7938764
04i14rgr7z4wx6c,MGI:2388280,Polr2b,Early adult,C57BL,IMPC_GEM_077_001,Hemorrhage,0.05089397
04i157o26i898s9,MGI:3652039,Rad21l,Late adult,C57BL,HMGULA_HWT_008_001,Heart weight,0.4017678
04iwi47d3n6inim,MGI:2388280,Polr2b,E9.5,C57BL,M-G-P_006_001_026,Fusion of vertebrae,0.790425
04izcd32i0yvv8p,MGI:2385186,Clcc1,E9.5,C53BL,IMPC_GEP_005_002,Responsive to tactile stimuli,0.6940248
04jc4ja75ce1846,MGI:1919824,Zc3h14,Early adult,C57BL,IMPC_EYE_069_001,Left inner nuclear layer,0.7700584
04k2l6g121q1huy,MGI:2685945,Pstk,Early adult,C57BL,IMPC_ECH_008_001,LVIDd,0.06403417
04ks8539woxx2h2,MGI:3652039,Rad21l,Early adult,C57BL,JAX_LDT_009_001,Percent time in light,0.992882
04l913m9qi7tb0k,MGI:2388280,Polr2b,E9.5,C57BL,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),0.8319205
04ln65sqvo46047,MGI:1921078,Dcaf4,Early adult,C57BL,HMGULA_SHI_009_001,Startle response,0.3320767
04ltg6tt4ur5x1h,MGI:106351,Vcf1,Early adult,129SV,KMPCLA_CBC_006_001,Total protein,0.3545508
04m983v170rg0ru,MGI:1915267,Mrm2,E9.5,C57BL,JAX_SLW_013_001,Breath rate during sleep mean,0.7226614
04mx3gz607g1883,MGI:88289,Cbx2,Early adult,C57BL,JAX_OFD_007_001,Whole arena resting time,0.3910069
04n7id81067z8e7,MGI:98261,Ccl4,Early adult,C57BL,IMPC_OFD_011_001,Periphery resting time,0.7847839
04ow2fxsaz7o999,MGI:2684313,Togaram1,E15.5,C57BL,IMPC_DXA_008_001,Lean/Body weight,0.1733711
04q328hsj15trs1,MGI:96217,Hprt1,Early adult,C57BL,IMPC_HWT_002_001,Tibia length,0.671732
04qhv1d4736n00n,MGI:106351,Vcf1,Early adult,C57BL,IMPC_CBC_001_001,Sodium,0.6220471
04qpfq4320hh1v5,MGI:1930923,Slurp1,Early adult,C57BL,JAX_SLW_010_001,Dark sleep bout lengths standard deviation,0.5119274
04s22vn7jw9d829,MGI:2661120,Actr3b,Early adult,C57BL,RBRCLA_HEM_005_001,Mean cell volume,0.5455228
04s58f2j2k27110,MGI:96438,Igfbp3,Early adult,C57BL,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,0.9210702
04s93vo7r132sx1,MGI:1921720,Cep72,Early adult,C57BL,MGP_IMM_100_001,Resting NK cells - % of CD45+,0.8036593
04slu993132ia0h,MGI:1921287,Acot6,Early adult,C57BL,IMPC_HEM_008_001,Platelet count,0.8262313
04t479g0l2e76tm,MGI:102716,Cryba4,Early adult,C57BL,IMPC_GRS_008_001,Forelimb grip strength measurement mean,0.2608582
04u84opln058i72,MGI:3527427,Taar3,Early adult,C51BL,IMPC_HEM_007_001,Mean cell hemoglobin concentration,0.76477
04utin6grkho8cl,MGI:2661120,Actr3b,Early adult,C57BL,IMPC_OFD_010_001,Periphery distance travelled,0.2904355
04v2w953kh3my2l,MGI:1915918,Klk5,Early adult,C57BL,M-G-P_005_001_001,Weight,0.4751416
04x14d331qa9543,MGI:1914852,Necap1,E18.5,C57BL,IMPC_DXA_009_001,Fat/Body weight,0.7536644
04xdj2j202w8o3x,MGI:98241,Stmn2,Early adult,C57BL,IMPC_ABR_012_001,30kHz-evoked ABR Threshold,0.2720906
04y886431867ffn,MGI:1915759,Ptx4,Early adult,C57BL,IMPC_GEL_032_001,Embryo Size,0.3196968
04z2991q5191139,MGI:88289,Cbx2,E15.5,C57BL,JAX_LDT_005_001,Time mobile dark side,0.8942164
04z2a23np1vm6c8,MGI:95864,Gstp2,Early adult,C57BL,HMGULA_HWT_008_001,Heart weight,0.2824865
04zic936pr6ym82,MGI:1915267,Mrm2,Early adult,C57BL,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),0.4744571
04zu704320r4sj9,MGI:1347361,Mmp23,Early adult,C57BL,M-G-P_025_001_012,Lactate dehydrogenase,0.8502213
050ngv720044pzt,MGI:99160,Zfp14,Early adult,C57BL,KMPCLA_CBC_006_001,Total protein,0.5739808
050okv5c0i8573v,MGI:1344403,Cfdp1,Early adult,C57BL,IMPC_ABR_012_001,30kHz-evoked ABR Threshold,0.7011633
0515d33l61826o5,MGI:1277171,Dcx,Early adult,C57BL,IMPC_HEM_035_001,Eosinophil differential count,0.1151775
0519xs0z1aa6b9g,MGI:2442689,Lrrc49,Early adult,C57BL,IMPC_HEM_035_001,Eosinophil differential count,0.07319573
051uwv15i8z87t1,MGI:3652039,Rad21l,Late adult,C57BL,IMPC_CBC_028_001,Creatine kinase,0.2456624
051zu676in61j9x,MGI:1915267,Mrm2,E9.5,C57BL,IMPC_CSD_029_001,Activity (body position),0.3552212
0526ock2866js83,MGI:2684313,Togaram1,Early adult,C57BL,IMPC_GEM_027_001,Limb Bud Morphology,0.7203742
0528906p31ttwwq,MGI:1921674,Tmc5,Early adult,C54BL,IMPC_CSD_023_001,Vibrissae - presence,0.7221346
052y2k371fsc52m,MGI:2385186,Clcc1,E9.5,C57BL,IMPC_GEL_063_001,Delayed embryonic development,0
05356oun3ek8kof,MGI:96438,Igfbp3,Early adult,C57BL,HMGULA_CBC_016_001,HDL-cholesterol,0.9074626
05387v2ed0kej02,MGI:2661120,Actr3b,Early adult,C57BL,M-G-P_006_001_013,Radius,0.8908749
054p23152hl7712,MGI:99602,Acan,E15.5,C57BL,IMPC_EYE_007_001,Cornea,0.5054738
05584s4q58yy431,MGI:2684313,Togaram1,E15.5,C57BL,IMPC_ECH_005_001,Fractional Shortening,0.9771798
055p3887837q976,MGI:1333782,Pld3,Early adult,C57BL,IMPC_CBC_012_001,Aspartate aminotransferase,0.5759196
056q076374xv769,MGI:1915340,Yif1a,Early adult,C57BL,MGP_IMM_121_001,Macrophages - % of CD45+,0.3290192
056zi6sybe615bg,MGI:95777,Gnas,Early adult,129SV,JAX_LDT_004_001,Dark side time spent,0.07629675
05718il56n606i7,MGI:1915759,Ptx4,Early adult,C57BL,IMPC_ECH_011_001,LVIDs,0.1986895
057rdv1n5745634,MGI:109151,Ltbp1,Early adult,129SV,ESLIM_011_001_003,PP2 startle magnitude,0.8042238
0586p8nbbxt1r29,MGI:2385186,Clcc1,Early adult,C57BL,IMPC_EYE_016_001,Lens,0.1587493
0588wx3fd3jb7t7,MGI:1916943,Pof1b,Early adult,C57BL,IMPC_GEM_068_001,Forebrain morphology,0.05156635
058dgj9uea6313k,MGI:1922928,Ippk,Early adult,C57BL,IMPC_EYE_017_001,Lens Opacity,0.06654703
058kvm8i05h5frr,MGI:3037820,Kcna10,E12.5,C57BL,IMPC_CSD_029_001,Activity (body position),0.2395113
058m8639w9m793b,MGI:102716,Cryba4,Early adult,C57BL,IMPC_HEM_001_001,White blood cell count,0.3808551
058ox9jh7y4tfio,MGI:3652039,Rad21l,Late adult,C57BL,IMPC_EYE_014_001,Pupil Light Response,0.4419739
0590v4o7frt443l,MGI:3037820,Kcna10,E12.5,C57BL,IMPC_DXA_007_001,BMC/Body weight,0.6765623
05967e7y3356a9t,MGI:1915267,Mrm2,Early adult,C57BL,IMPC_DXA_006_001,Body length,0.2996108
05978p2bq8o67is,MGI:1859211,Irf6,Early adult,C57BL,IMPC_HWT_002_001,Tibia length,0.6966772
059bq28ue029484,MGI:2145567,Fam149b,Early adult,C57BL,IMPC_DXA_010_001,Bone Area,0.4399399
059nfjh74zy8gxh,MGI:3607787,Spata21,Early adult,C57BL,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,0.4683707
059zv9b18l3bs0q,MGI:99602,Acan,E18.5,C57BL,JAX_URI_002_001,Creatinine,0.9410465
05a157s0qcm286l,MGI:700006,Dbnl,Early adult,C57BL,CCP_XRY_057_001,Kyphosis,0.4042939
05a25n230h84p2g,MGI:1914852,Necap1,Early adult,C57BL,IMPC_ECH_011_001,LVIDs,0.4156765
05az2g9woig5uki,MGI:1919192,Myof,Early adult,C57BL,ESLIM_011_001_004,PP3 startle magnitude,0.9521748
05bx08bqnry1jz0,MGI:1915918,Klk5,Early adult,C57BL,IMPC_ACS_035_001,% Pre-pulse inhibition - PPI3,0.9286186
05cn2d5o325p8so,MGI:2385186,Clcc1,E12.5,C57BL,M-G-P_025_001_013,Aspartate aminotransferase,0.9272042
05crc2g89yutjfy,MGI:98957,Wnt4,Early adult,C57BL,IMPC_IPG_010_001,Fasted blood glucose concentration,0.8711636
05d0k4886p7rs83,MGI:2385186,Clcc1,Early adult,C57BL,IMPC_GEM_063_001,Facial cleft,0.3661108
05d856al51bo531,MGI:1890564,Rcan1,Early adult,C57BL,IMPC_HEM_006_001,Mean corpuscular hemoglobin,0.7021116
05e059caayu52m6,MGI:1859026,Cnot4,Early adult,C57BL,CCP_XRY_057_001,Kyphosis,0.7925071
05e2e48k3v7ed6f,MGI:2684313,Togaram1,E15.5,C57BL,ESLIM_011_001_003,PP2 startle magnitude,0.6980068
05g1f4zy5qtkt4v,MGI:2136890,Setd4,Early adult,C57BL,M-G-P_006_001_013,Radius,0.4814753
05g727a1j496655,MGI:3041259,Mettl25,Early adult,C57BL,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,0.2845106
05gjr2b8y5063yl,MGI:1928486,Tdo2,E15.5,C57BL,IMPC_EYE_023_001,Optic Disc,0.2055855
05harj4865g8s9k,MGI:2684313,Togaram1,E15.5,C57BL,IMPC_CBC_004_001,Urea (Blood Urea Nitrogen - BUN),0.7660109
05i1e6aqh261fts,MGI:88344,Cd7,Early adult,C57BL,IMPC_DXA_003_001,Lean mass,0.3176038
05j301x481n822j,MGI:3652039,Rad21l,Late adult,C57BL,IMPC_DXA_009_001,Fat/Body weight,0.5615745
05jw0phy65y3557,MGI:1349473,Ppp2r5e,Early adult,C57BL,IMPC_CBC_010_001,Phosphorus,0.2635654
05mxgl78e335q73,MGI:99602,Acan,E18.5,C57BL,IMPC_GEP_005_002,Responsive to tactile stimuli,0.6078019
05na0oeq35ldg55,MGI:2684313,Togaram1,Early adult,C57BL,IMPC_CBC_015_001,Total cholesterol,0.354886
05nf7672a887647,MGI:1915267,Mrm2,Early adult,C57BL,IMPC_EYE_083_001,Vitreous,0.3537015
05o1ftu710j9fln,MGI:1196466,Dsg2,Early adult,C57BL,IMPC_CBC_016_001,HDL-cholesterol,0.8281838
05o5308p0t861sh,MGI:102716,Cryba4,Early adult,C57BL,IMPC_HEM_006_001,Mean corpuscular hemoglobin,0.9721824
05q11t3h6h980x9,MGI:2147067,Dhx57,Early adult,C57BL,MGP_PBI_031_001,KLRG1+ mature NK cell number,0.2471332
05r625h0uo78611,MGI:3037820,Kcna10,Early adult,C57BL,IMPC_OFD_011_001,Periphery resting time,0.9914844
05ryt5ku26f5x52,MGI:2147067,Dhx57,Early adult,C57BL,IMPC_EYE_067_001,Left anterior chamber depth,0.5695284
05s6feecn6msp39,MGI:96217,Hprt1,Early adult,C57BL,IMPC_HEM_006_001,Mean corpuscular hemoglobin,0.8260838
05sr86179d7xwdc,MGI:1309998,Marco,Early adult,C57BL,IMPC_EYE_007_001,Cornea,0.5875207
05u8fw1tp2sk27c,MGI:2137026,P2rx5,Early adult,C57BL,IMPC_CSD_039_001,Limb grasp,0.135078
05vai066qxi3p9y,MGI:1922928,Ippk,E9.5,C57BL,HMGULA_HWT_008_001,Heart weight,0.4817128
05vvnu1sv1jpc36,MGI:1890564,Rcan1,Early adult,C57BL,JAX_HBD_001_001,Total holepokes,0.4520438
05w2w68683h61ea,MGI:2385186,Clcc1,E12.5,C57BL,IMPC_CSD_033_001,Gait,0.114218
05w7b6w5oakqf1m,MGI:2684313,Togaram1,E12.5,C57BL,IMPC_OFD_017_001,Center average speed,0.6009039
05xq05tb2ls742q,MGI:1309467,Gstm6,Early adult,C57BL,IMPC_CAL_021_001,Total water intake,0.4605462
05z9jd7fo7q4thc,MGI:1919192,Myof,Early adult,C57BL,JAX_SLW_004_001,Sleep dark phase percent,0.6180379
0601825sofgf876,MGI:2136890,Setd4,Early adult,C57BL,IMPC_EYE_025_001,Retinal Blood Vessels Structure,0.4514177
0606ipc3r435uv1,MGI:3041259,Mettl25,Early adult,C57BL,IMPC_DXA_008_001,Lean/Body weight,0.7084979
060v743mjih1l5s,MGI:1347361,Mmp23,Early adult,C57BL,IMPC_HEM_038_001,Basophil differential count,0.09767929
061i74mw428g8ke,MGI:2443834,Ppfia2,Early adult,C57BL,JAX_URI_004_001,Magnesium,0.309003
061x1157815722h,MGI:2387194,Qsox2,Late adult,C57BL,IMPC_EYE_014_001,Pupil Light Response,0.801132
0620ol3ch1x1j2j,MGI:2153608,Ube2j2,Late adult,C57BL,IMPC_GRS_008_001,Forelimb grip strength measurement mean,0.3978382
062u847ikk5481p,MGI:1890564,Rcan1,Early adult,C57BL,M-G-P_005_001_001,Weight,0.6516959
062v7fa4711l352,MGI:3646952,Spink14,Early adult,C57BL,IMPC_EYE_007_001,Cornea,0.7180664
06315hvi84b3906,MGI:1349473,Ppp2r5e,Early adult,C57BL,IMPC_ABR_010_001,24kHz-evoked ABR Threshold,6.931604e-05
063185pm36ec99r,MGI:2443834,Ppfia2,Early adult,C57BL,JAX_OFD_021_001,Number of rears - total,0.4738525
063da078c42zc53,MGI:2151224,Alpk3,Early adult,C57BL,ESLIM_009_001_702,Forelimb and hindlimb grip strength measurement mean,0.3972347
0641224j78986tb,MGI:1196466,Dsg2,Early adult,C57BL,IMPC_CSD_032_001,Locomotor activity,0.7670596
0646vw3ytu67q10,MGI:97808,Ptpra,Early adult,C57BL,IMPC_EYE_023_001,Optic Disc,0.8620101
06476405za1r58p,MGI:1921287,Acot6,Early adult,C57BL,JAX_URI_004_001,Magnesium,0.8828338
064c10s190vj5yz,MGI:1917022,Bdh2,Early adult,C57BL,IMPC_HEM_003_001,Hemoglobin,0.3994303
064i9w3928si35d,MGI:2147067,Dhx57,Early adult,C57BL,IMPC_CSD_010_001,Coat - color pattern - abdomen,0.06481895
064m9obtvi1c102,MGI:3037820,Kcna10,E12.5,C57BL,IMPC_CBC_006_001,Total protein,0.2886906
064qgf4h120p962,MGI:1922928,Ippk,E12.5,C57BL,IMPC_HEM_027_001,Red blood cell distribution width,0.5053153
065j7rud7w6382b,MGI:1915340,Yif1a,Early adult,C57BL,IMPC_CBC_003_001,Chloride,0.2105813
0668fb1q422onb0,MGI:97594,Prkacb,Early adult,C57BL,IMPC_ACS_036_001,% Pre-pulse inhibition - PPI4,0.6638522
0675s2g2is543ea,MGI:2444401,Snrnp200,Early adult,C57BL,M-G-P_006_001_013,Radius,0.7593376
0689hzri76gje69,MGI:1928486,Tdo2,E15.5,C57BL,IMPC_ECH_010_001,LVAWs,0.7080622
068ie24q5tk9971,MGI:2443834,Ppfia2,Early adult,C57BL,IMPC_CSD_023_001,Vibrissae - presence,0.9836705
068s549u43y95bz,MGI:1098746,Ankzf1,Early adult,C57BL,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,0.3672206
0693kdi33994b26,MGI:2441730,Tbl1xr1,Late adult,C57BL,IMPC_CBC_014_001,Alkaline phosphatase,0.8210564
069oo4x406pq893,MGI:2681308,Tas2r139,Early adult,C57BL,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,0.7080399
06a1mu523r2v962,MGI:1932970,Ucn3,Early adult,C57BL,IMPC_ECH_010_001,LVAWs,0.6351306
